threshold_bps,large_batch_real_passed,large_batch_real_failed,sample_fixture_pages,sample_certified_pages,sample_failed_pages,unsupported_accepted_rate_pct
6000,109,0,6,5,1,40.0
7000,109,0,6,5,1,40.0
7800,109,0,6,3,3,0.0
8500,109,0,6,2,4,0.0
9000,109,0,6,1,5,0.0
